threshold,token_precision,token_recall,token_f1,char_precision,char_recall,char_f1,gc_tot,pc_tot,ov_tot,ans_precision,ans_recall,ans_f1,TP,FP,FN,TN,gold_positive_rate,predicted_positive_rate,cat_A,cat_B,cat_C,cat_D,gate_model,gate_threshold,token_threshold
0.72,0.0,0.0,0.0,0.0,0.0,0.0,62074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15165.0,71542.0,0.1749,0.0,0,377,0,879,RAW,,0.72
0.73,0.0,0.0,0.0,0.0,0.0,0.0,62074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15165.0,71542.0,0.1749,0.0,0,377,0,879,RAW,,0.73
0.74,0.0,0.0,0.0,0.0,0.0,0.0,62074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15165.0,71542.0,0.1749,0.0,0,377,0,879,RAW,,0.74
0.75,0.0,0.0,0.0,0.0,0.0,0.0,62074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15165.0,71542.0,0.1749,0.0,0,377,0,879,RAW,,0.75
0.76,0.0,0.0,0.0,0.0,0.0,0.0,62074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15165.0,71542.0,0.1749,0.0,0,377,0,879,RAW,,0.76
0.77,0.0,0.0,0.0,0.0,0.0,0.0,62074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15165.0,71542.0,0.1749,0.0,0,377,0,879,RAW,,0.77
0.78,0.0,0.0,0.0,0.0,0.0,0.0,62074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15165.0,71542.0,0.1749,0.0,0,377,0,879,RAW,,0.78
0.79,0.0,0.0,0.0,0.0,0.0,0.0,62074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15165.0,71542.0,0.1749,0.0,0,377,0,879,RAW,,0.79
0.8,0.0,0.0,0.0,0.0,0.0,0.0,62074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15165.0,71542.0,0.1749,0.0,0,377,0,879,RAW,,0.8
0.05,0.2258,0.93,0.3633,0.2283,0.9257,0.3662,62074.0,251729.0,57461.0,0.3633,0.9655,0.5279,14104.0,48371.0,1061.0,23171.0,0.1749,0.7205,364,13,638,241,LR,0.05,0.05
0.05,0.2357,0.8965,0.3733,0.2383,0.8917,0.3761,62074.0,232278.0,55353.0,0.3777,0.9416,0.5391,13596.0,44089.0,1569.0,27453.0,0.1749,0.6653,355,22,585,294,LR,0.05,0.07
0.05,0.2419,0.869,0.3785,0.2448,0.8643,0.3815,62074.0,219163.0,53651.0,0.3888,0.9231,0.5472,13179.0,41298.0,1986.0,30244.0,0.1749,0.6283,348,29,547,332,LR,0.05,0.09
