threshold,token_precision,token_recall,token_f1,token_auroc,token_pr_auc,char_precision,char_recall,char_f1,ans_precision,ans_recall,ans_f1,TP,FP,FN,TN,gold_positive_rate,predicted_positive_rate,n_pred_spans,avg_pred_span_len
0.56,0.6419753086419753,0.003428948236069898,0.006821461366915913,0.6994703827400888,0.2996233296882518,0.5331125827814569,0.0025936785127428554,0.005162241887905605,0.7857142857142857,0.029177718832891247,0.056265984654731455,52,29,15113,71513,0.1748993737529842,0.0009341806313215772,59,5.12
0.57,0.6727272727272727,0.0024398285525881963,0.004862023653088042,0.6994703827400888,0.2996233296882518,0.5925925925925926,0.0018042980958211166,0.0035976422594478255,0.7,0.01856763925729443,0.03617571059431524,37,18,15128,71524,0.1748993737529842,0.0006343201817615648,42,4.5
0.58,0.8235294117647058,0.0018463567424991758,0.003684452924534509,0.6994703827400888,0.2996233296882518,0.8383838383838383,0.0013371137674388633,0.0026699692792691364,1.0,0.01856763925729443,0.036458333333333336,28,6,15137,71536,0.1748993737529842,0.0003921252032707855,27,3.67
0.59,0.9090909090909091,0.0013188262446422684,0.002633831566471324,0.6994703827400888,0.2996233296882518,0.9516129032258065,0.0009504784611914811,0.0018990601261748424,1.0,0.013262599469496022,0.02617801047120419,20,2,15145,71540,0.1748993737529842,0.00025372807270462595,19,3.26
0.6,0.9166666666666666,0.0007253544345532477,0.0014495618369901825,0.6994703827400888,0.2996233296882518,0.9285714285714286,0.0004188549151013307,0.0008373321310102735,1.0,0.010610079575596816,0.02099737532808399,11,1,15154,71541,0.1748993737529842,0.0001383971305661596,11,2.55
0.61,1.0,0.00046158918562479395,0.0009227524387028737,0.6994703827400888,0.2996233296882518,1.0,0.00020942745755066534,0.0004187672137484498,1.0,0.005305039787798408,0.010554089709762533,7,0,15158,71542,0.1748993737529842,8.073165949692643e-05,7,1.86
0.62,1.0,0.0003956478733926805,0.0007909827961241843,0.6994703827400888,0.2996233296882518,1.0,0.00019331765312369107,0.00038656057726379534,1.0,0.005305039787798408,0.010554089709762533,6,0,15159,71542,0.1748993737529842,6.91985652830798e-05,6,2.0
0.63,1.0,0.00019782393669634025,0.00039556962025316455,0.6994703827400888,0.2996233296882518,1.0,4.832941328092277e-05,9.66541553232276e-05,1.0,0.005305039787798408,0.010554089709762533,3,0,15162,71542,0.1748993737529842,3.45992826415399e-05,3,1.0
0.64,1.0,0.00013188262446422685,0.0002637304674622536,0.6994703827400888,0.2996233296882518,1.0,3.221960885394851e-05,6.443714156840002e-05,1.0,0.005305039787798408,0.010554089709762533,2,0,15163,71542,0.1748993737529842,2.3066188427693264e-05,2,1.0
0.65,1.0,6.594131223211343e-05,0.00013187392852433074,0.6994703827400888,0.2996233296882518,1.0,1.6109804426974256e-05,3.2219089810712846e-05,1.0,0.002652519893899204,0.005291005291005291,1,0,15164,71542,0.1748993737529842,1.1533094213846632e-05,1,1.0
